"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001720","삼장초등학교","02","공립","N","","10","5600000","1","224000","0","0","11","5824000","0","0","0","7100000","7100000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001722","생비량초등학교","02","공립","N","","6","4400000","0","0","0","0","6","4400000","0","0","0","3800000","3800000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001724","생초초등학교","02","공립","N","","10","5900000","0","0","0","0","10","5900000","0","1000000","0","4854020","5854020"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001729","신안초등학교","02","공립","N","","22","7100000","0","0","0","0","22","7100000","0","0","0","7100000","7100000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001730","신천초등학교","02","공립","N","","5","22700000","2","720000","0","0","7","23420000","0","0","20000000","3700000","23700000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001734","오부초등학교","02","공립","N","","23","3700000","0","0","0","0","23","3700000","0","0","0","4000000","4000000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001745","차황초등학교","02","공립","N","","8","4050000","1","400000","0","0","9","4450000","0","0","0","4800000","4800000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001795","덕계초등학교","02","공립","N","","6","5500000","0","0","0","0","6","5500000","1419000","1487990","3155930","3100000","9162920"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001797","동산초등학교","02","공립","N","","20","9820000","0","0","0","0","20","9820000","0","3000000","0","6800000","9800000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001798","물금초등학교","02","공립","N","","10","4500000","0","0","0","0","10","4500000","0","1000220","0","4500000","5500220"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001800","범어초등학교","02","공립","N","","8","3600000","0","0","0","0","8","3600000","0","0","0","3700000","3700000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001801","삼성초등학교","02","공립","N","","20","4280000","0","0","0","0","20","4280000","0","0","0","3679000","3679000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001802","상북초등학교","02","공립","N","","18","20650000","0","0","0","0","18","20650000","0","0","0","7450000","7450000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001803","서남초등학교","02","공립","N","","2","400000","0","0","0","0","2","400000","0","0","0","400000","400000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001804","서창초등학교","02","공립","N","","6","7700000","0","0","0","0","6","7700000","0","0","0","6600000","6600000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001806","소토초등학교","02","공립","N","","16","4700000","0","0","1","878000","17","5578000","0","0","500000","4200000","4700000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001807","신기초등학교","02","공립","N","","4","2300000","3","10331500","0","0","7","12631500","0","0","0","2959000","2959000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001808","양산초등학교","02","공립","N","","170","62900000","2","3360000","0","0","172","66260000","0","0","9000000","62500000","71500000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001809","양주초등학교","02","공립","N","","3","2700000","0","0","0","0","3","2700000","0","0","0","2700000","2700000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001810","어곡초등학교","02","공립","N","","7","1500000","0","0","0","0","7","1500000","0","0","0","4100000","4100000"
